Hotelid|nombre|direccion|rating|pais|ciudad|telefono|website|RoomID|Max_Camas|Max_Ocupacion|TV|Nevera|Lampara|TVBox|Escritorio|Sillas|Balcon
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|1|1|4|0|1|0|1|0|3|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|2|4|6|0|0|0|1|1|1|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|3|1|5|0|1|0|0|1|2|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|4|4|3|1|1|1|1|0|2|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|5|3|5|0|0|0|0|1|4|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|6|2|6|1|1|0|1|0|2|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|7|4|1|1|0|0|1|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|8|3|4|1|1|1|0|1|1|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|9|1|4|0|0|0|0|1|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|10|2|1|1|1|0|1|0|4|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|11|3|1|0|0|1|0|0|2|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|12|4|4|0|1|1|0|0|3|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|13|1|2|1|0|0|1|1|2|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|14|1|1|0|1|0|1|0|1|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|15|1|4|1|0|0|0|1|3|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|16|4|6|1|0|1|1|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|17|3|6|1|1|0|0|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|18|3|3|0|0|1|0|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|19|3|6|0|1|0|1|1|4|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|20|4|5|1|0|0|1|1|2|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|21|2|1|0|1|0|1|1|1|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|22|3|6|1|1|1|0|0|1|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|23|3|4|1|0|1|1|0|3|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|24|4|4|1|1|1|1|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|25|3|6|0|0|1|0|0|4|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|26|4|4|0|0|0|0|1|3|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|27|4|4|0|1|0|1|1|2|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|28|2|2|1|1|0|1|0|2|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|29|4|4|1|1|0|0|1|1|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|30|4|1|0|1|1|1|0|2|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|31|4|6|1|1|1|1|0|1|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|32|3|3|0|1|0|0|1|3|0
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|33|2|4|1|0|0|0|1|1|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|34|2|6|1|1|0|1|1|1|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|35|2|6|0|1|0|0|1|3|1
1|Conquistador Hotel & Conference Center|Via 5 4-68, Cdad. de Guatemala 01004, Guatemala|4|Guatemala|Guatemala|+502 2424 4444|https://www.hotelconquistador.com.gt/|36|1|2|0|0|1|0|0|1|0
