id_servicios;Tipo_cama;cant_camas;mini_bar;ocupacion_min;ocupacion_max;balcon;electronicos
1000510101;King;1;TRUE;1;3;TRUE;TRUE
1000510102;Queen;1;TRUE;1;2;TRUE;TRUE
1000510103;Queen;1;TRUE;1;2;FALSE;TRUE
1000510104;Queen;1;TRUE;1;2;TRUE;TRUE
1000510105;Queen;1;TRUE;1;2;TRUE;TRUE
1000510106;Queen;1;TRUE;1;2;FALSE;TRUE
1000510107;Matrimonial;2;TRUE;1;2;TRUE;TRUE
1000510108;Matrimonial;2;TRUE;1;2;TRUE;TRUE
1000510109;Queen;1;TRUE;1;2;FALSE;TRUE
1000510110;Matrimonial;2;TRUE;1;2;FALSE;TRUE
